Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3427,2019-09-20,Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,1969-07-10,MA,Female,White,Widowed,Fully Meets,4,2023-01-14,1,2,3,2023-07-15,Leadership Development,Internal,Failed,2,606.11,50
3428,2023-02-11,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Production       ,Aerial,1965-08-30,MA,Male,Hispanic,Widowed,Fully Meets,3,2022-09-09,2,1,5,2022-09-12,Customer Service,External,Incomplete,4,673.02,58
3429,2018-12-10,Area Sales Manager,PL,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,1991-06-10,MA,Male,Hispanic,Widowed,Fully Meets,4,2023-05-27,1,2,1,2022-08-13,Leadership Development,External,Failed,2,413.28,27
3430,2021-06-21,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,1998-04-04,ND,Male,Other,Single,Fully Meets,2,2023-06-16,5,5,4,2022-12-15,Project Management,External,Completed,3,663.78,23
3431,2019-06-29,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,1969-08-29,FL,Female,Other,Married,Fully Meets,3,2022-11-25,2,5,3,2023-07-13,Technical Skills,External,Failed,5,399.03,50
3432,2020-01-17,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Field Operations,1949-03-04,CT,Male,Black,Married,Fully Meets,3,2022-12-12,2,3,5,2023-04-18,Project Management,Internal,Passed,2,820.33,71
3433,2022-04-06,Area Sales Manager,WBL,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,1942-01-07,CA,Female,Hispanic,Divorced,Exceeds,4,2023-03-25,1,5,2,2022-08-06,Customer Service,External,Passed,5,295.08,80
3434,2020-11-06,Area Sales Manager,CCDR,Active,Contract,Zone C,Full-Time,Sales,Engineers,1957-07-03,OR,Female,White,Divorced,Fully Meets,2,2023-04-21,1,4,2,2022-10-07,Leadership Development,Internal,Passed,3,790.15,63
3435,2018-08-18,Area Sales Manager,NEL,Active,Contract,Zone B,Part-Time,Sales,Executive,1974-05-15,TX,Male,Black,Widowed,Exceeds,3,2022-09-12,4,3,3,2023-07-19,Customer Service,Internal,Passed,3,798.4,44
3436,2022-01-21,Area Sales Manager,BPC,Active,Part-Time,Zone B,Temporary,Sales,Engineers,1949-11-11,TX,Male,Asian,Widowed,Fully Meets,5,2023-07-30,5,5,2,2023-04-09,Leadership Development,Internal,Failed,5,192.61,73
3437,2023-08-04,Area Sales Manager,SVG,Active,Contract,Zone B,Temporary,Sales,Field Operations,1964-01-26,IN,Female,Other,Single,Fully Meets,5,2022-10-15,3,2,5,2022-10-20,Technical Skills,Internal,Failed,1,455.68,59
3438,2018-08-10,Area Sales Manager,MSC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,1948-06-04,GA,Female,Asian,Married,Fully Meets,3,2022-10-28,4,2,5,2022-10-05,Technical Skills,Internal,Failed,2,208.17,70
3439,2022-05-25,Area Sales Manager,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,1981-11-24,CO,Male,Other,Single,Fully Meets,3,2022-10-30,1,2,5,2023-03-09,Technical Skills,External,Incomplete,1,421.07,41
3440,2019-12-05,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,1951-06-11,KY,Female,White,Divorced,Fully Meets,3,2022-09-24,1,4,5,2023-05-29,Communication Skills,External,Failed,1,649.03,68
